JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,NOTES
Berkeley,Alameda,2024,,056 198304201,2147 SAN PABLO Ave,,ZP2024-0096,5+,Renter,,0,0,0,0,0,0,15,15,0,0,No,Yes,Yes,Pending,Desc: Use Permit Modification to modify approved Use Permit #ZP2022-0113; to increase the number of Group Living Accommodation (GLA) units from 128 to 141; increase the height from 70 feet to 75 feet; reduc
Berkeley,Alameda,2024,,055 183001400,2201 BLAKE St,,PLN2024-0013,2-4,Owner,,0,0,0,0,0,0,3,3,3,0,No,No,No,Approved,Desc: SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3;551 SF duplex; relocation of an
Berkeley,Alameda,2024,,055 183001600,2204 DWIGHT Way,,ZP2024-0059,2-4,Owner,,0,0,0,0,0,0,2,2,0,0,No,No,No,Pending,Desc: SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.
Berkeley,Alameda,2024,,055 183001400,2205 BLAKE St,,PLN2024-0001,2-4,Owner,,0,0,0,0,0,0,3,3,0,0,No,No,No,Pending,Desc: Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victo
Berkeley,Alameda,2024,,057 202800400,2276 SHATTUCK Ave,,ZP2024-0067,5+,Renter,,0,0,0,0,0,0,336,336,0,0,No,Yes,Yes,Pending,Desc: SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32;350 square feet of commercial space to 7;486 square feet;
Berkeley,Alameda,2024,,055 188700100,2298 DURANT Ave,,ZP2024-0126,5+,Renter,,0,0,0,0,0,0,65,65,0,0,No,Yes,Yes,Pending,"Desc: The proposed project entails the demolition of all existing buildings; merger of two lots; and construction of a new; 8-Story; 79;522sf; 91'-6"" tall building with 65 total units; 5 of which will be of"
Berkeley,Alameda,2024,,055 188400600,2317 CHANNING Way,,PLN2024-0018,5+,Renter,,0,0,0,0,0,0,5,5,0,0,No,No,No,Pending,Desc: The proposed project is a modification to approved UPPH - ZP2020-0090.  The modification includes raising the building out of the ground; increasing the max building height from 45' to 50'; increasing
Berkeley,Alameda,2024,,055 188400600,2317 CHANNING Way,,ZP2024-0033,5+,Renter,,0,0,0,0,0,0,22,22,22,0,No,No,No,Approved,Desc: Modification 17→22 units; 5-story residential
Berkeley,Alameda,2024,,055 188401600,2326 DURANT Ave,,PLN2024-0023,5+,Renter,,35,0,35,0,0,0,0,70,0,0,No,Yes,Yes,Pending,"Desc: Pre App requesting feedback on a project proposing a six-story; 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the projec | Extracted: VLI=35, LI=35, MOD=0"
Berkeley,Alameda,2024,,055 190501200,2328 GRANT St,,PLN2024-0062,ADU,Owner,,0,0,0,0,0,0,1,1,0,0,No,No,No,Pending,Desc: Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF; HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.
Berkeley,Alameda,2024,,055 188700300,2372 ELLSWORTH St,,PLN2024-0054,5+,Renter,,0,0,0,0,0,0,63,63,0,0,No,No,No,Pending,Desc: SB-330 Project: Demolition of existing building to construct a seven-story; 49;900-square-foot residential building. A total of 63 units comprised of studios; two; three; and four bedrooms.
Berkeley,Alameda,2024,,052 157307802,2420 ASHBY Ave,,ZP2024-0147,2-4,Owner,,0,0,0,0,0,0,4,4,0,0,No,No,No,Pending,Desc: Use Permit to convert a nonconforming medical office use to a multifamily residential use by reconfiguring interior space to create 4 dwelling units; establish 5 off street parking spaces; and create 
Berkeley,Alameda,2024,,055 187800701,2425 DURANT Ave,,"ZP2024-0162, PLN2024-0049",5+,Renter,,0,0,0,0,13,0,237,250,0,0,No,Yes,Yes,Pending,"Desc: SB-330 PROJECT - Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145;000 square feet. The building height will be 200 | Extracted: VLI=0, LI=0, MOD=13"
Berkeley,Alameda,2024,,055 189800100,2428 MILVIA St,,PLN2024-0025,5+,Renter,,0,0,0,0,0,0,8,8,0,0,No,No,No,Pending,"Desc: SB-330 pre-application; the project proposes to demolish the existing buildings with six units; and to relocate landmarked ""Broad Buildings"" (from 2030-32 Bancroft) to this site; preserve exteriors an"
Berkeley,Alameda,2024,,055 189700600,2450 SHATTUCK Ave,,ZP2024-0047,5+,Renter,,0,0,0,0,0,0,94,94,0,0,No,No,No,Pending,Desc: SB-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 residential units; 2;438-sqft of retail space; 4;653-sqft of residential amenities and lobbies. Ame
Berkeley,Alameda,2024,,055 183600800,2614 TELEGRAPH Ave,,ZP2024-0027,5+,Renter,,0,0,0,0,0,0,31,31,0,0,No,Yes,Yes,Pending,Desc: SB-330 Mixed-Use Housing Development Project. Use Permit to merge two parcels; demolish a single-family dwelling (2614 Telegraph) and a commercial office (2417 Carleton); and construct a 38;000 square
Berkeley,Alameda,2024,,055 182601802,2655 SHATTUCK Ave,,ZP2024-0057,5+,Renter,,10,0,0,0,0,0,87,97,0,0,No,No,No,Pending,"Desc: Demolish an existing 1-story commercial building to construct an 85-foot tall; 83;479 square foot; 8-story Mixed Use residential/commercial building.  Total of 97 units; with 10 VLI. 41 on-site automo | Extracted: VLI=10, LI=0, MOD=0"
Berkeley,Alameda,2024,,054 172300100,2700 SHATTUCK Ave,,ZP2024-0058,5+,Renter,,0,0,0,0,0,0,276,276,0,0,No,No,No,Pending,Desc: SB330 project to demolish an existing commercial structure and construct a eight-story mixed-use housing development with 276 dwelling units.
Berkeley,Alameda,2024,,054 174400700,2720 SAN PABLO Ave,,"ZP2023-0058, ZP2024-0076",5+,Renter,,0,0,0,0,0,0,113,113,0,0,No,Yes,Yes,Pending,"Desc: SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking for the construction of a new eight-story; 88'10"" in height; 117-unit mixed-use housing development with "
Berkeley,Alameda,2024,,053 168602000,2847 SHATTUCK Ave,,"ZP2022-0132, ZP2024-0077",5+,Renter,,0,0,0,0,0,0,132,132,0,0,No,Yes,Yes,Pending,"Desc: SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking to construct a new 9-story; 102'0"" in height; 136-unit mixed-use housing development with 55;849 sq ft of"
Berkeley,Alameda,2024,,053 158901801,2955 SHATTUCK Ave,,ZP2024-0071,5+,Renter,,0,0,0,0,0,0,74,74,0,0,No,Yes,Yes,Pending,Desc: State Density Bonus Project to merge two lots and demolish (2) existing 2-story commercial structures and (1) existing 1-story commercial structure. The proposed project is an 8-story; 75-feet; 80;682
Berkeley,Alameda,2024,,052 157405200,3035 COLBY St,,ZP2024-0112,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Approved,"Desc: Demolition of an existing two-unit building; construction of a new two-unit building with an average height of 23'3""."
Berkeley,Alameda,2024,,052 157404601,3036 REGENT St,,ZP2024-0122,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: Use Permit for conversion of the existing medical office use and to establish a Single-Family Dwelling
Berkeley,Alameda,2024,,062 291602800,576 SAN LUIS Rd,,ZP2024-0053,2-4,Owner,,0,0,0,0,0,0,0,0,0,0,No,No,No,Pending,Desc: AUP to add a two-story 20 feet tall; 577 sq. ft. residential addition to the front of the main residence in the Hillside Overlay District and add a fourth bedroom to the property
