hcd_row_id,cpra_permit_number,address_hcd,address_cpra,tracking_id,co_units_hcd,co_units_d5,bp_units_hcd,bp_units_d5,agree_co,agree_bp,units_agree,match_tier,in_c1,cpra_year
1428,B2025-01862,2227 Oregon Street,2227 OREGON St,B2025-01862,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1431,B2025-02284,1724 Sonoma Avenue,1724 SONOMA Ave,B2025-02284,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2025
1432,B2024-01935,2847 MCGEE AVE,2847 MCGEE Ave,B2024-01935,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1433,B2024-02474,1340 HASKELL ST,1340 HASKELL St,B2024-02474,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1435,B2024-04001,812 ALLSTON WAY,812 ALLSTON Way,B2024-04001,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1436,B2020-04057,2804 ACTON St,2804 ACTON St,B2020-04057,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1437,B2021-02225,2650 TELEGRAPH Ave,2650 TELEGRAPH Ave,B2021-02225,45.0,45.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1438,B2022-00473,1408 EDITH St,1408 EDITH St,B2022-00473,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1439,B2022-06045,2144 RUSSELL St,2144 RUSSELL St,B2022-06045,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1440,B2023-03018,3037 ELLIS St,3037 ELLIS St,B2023-03018,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1441,B2023-04400,1215 DELAWARE St,1215 DELAWARE St,B2023-04400,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2025
1442,B2023-05794,948 FRESNO Ave,948 FRESNO Ave,B2023-05794,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1443,B2023-05812,1817 SIXTY-SECOND St,1817 SIXTY-SECOND St,B2023-05812,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2025
1444,B2024-01247,1619 EDITH St,1619 EDITH St,B2024-01247,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1445,B2024-01337,1280 BANCROFT Way,1280 BANCROFT Way,B2024-01337,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1446,B2024-01931,1228 MONTEREY Ave,1228 MONTEREY Ave,B2024-01931,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1447,B2024-02618,1016 FRESNO Ave,1016 FRESNO Ave,B2024-02618,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1491,B2025-01928,2922 Garber Steet,2922 GARBER St,B2025-01928,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2025
1492,B2024-02794,1342 DERBY ST,1342 DERBY St,B2024-02794,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1493,B2024-04779,935 MODOC ST,935 MODOC St,B2024-04779,0.0,1.0,1.0,1.0,False,True,False,tier_1_tracking_id,True,2025
1495,B2020-03502,2501 MABEL St,2501 MABEL St,B2020-03502,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1496,B2021-02404,2000 DWIGHT Way,2000 DWIGHT Way,B2021-02404,113.0,113.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1497,B2021-02467,1521 SACRAMENTO St,1521 SACRAMENTO St,B2021-02467,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1498,B2021-02905,2001 ASHBY Ave,2001 ASHBY Ave,B2021-02905,87.0,87.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1499,B2022-03233,1966 YOSEMITE Rd,1966 YOSEMITE Rd,B2022-03233,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1500,B2022-04721,2327 OREGON St,2327 OREGON St,B2022-04721,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1501,B2023-02975,2555 COLLEGE Ave,2555 COLLEGE Ave,B2023-02975,1.0,12.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2025
1502,B2025-01728,1521 STUART St,1521 STUART St,B2025-01728,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1503,B2023-03731,1238 STANNAGE Ave,1238 STANNAGE Ave,B2023-03731,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1504,B2025-02283,0 VIRGINIA St,0 VIRGINIA St,B2025-02283,0.0,0.0,1.0,2.0,True,False,False,tier_1_tracking_id,True,2025
1506,B2025-02286,1913 ROSE St,1913 ROSE St,B2025-02286,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1507,B2024-01564,1219 DERBY St,1219 DERBY St,B2024-01564,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2025
1509,B2022-03404,1632 EIGHTH ST,1632 EIGHTH St,B2022-03404,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1510,B2024-02475,1330 HASKELL ST,1330 HASKELL St,B2024-02475,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1511,B2024-03130,2025 PRINCE ST,2025 PRINCE St,B2024-03130,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2025
1512,B2024-05116,2761 ACTON ST,2761 ACTON St,B2024-05116,1.0,1.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2025
1513,B2021-04892,2737 DURANT Ave,2737 DURANT Ave,B2021-04892,4.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2025
