hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
1448,ZP2024-0011,808 ALLSTON Way,056 196300300,,SFD,0,0,no_cpra_presence
1541,ZP2023-0040,"1974 SHATTUCK Ave, BERKELEY",057 205300200,,5+,0,0,no_cpra_presence
1605,ZP2024-0070,2442 HASTE St,055 188101800,,5+,0,0,no_cpra_presence
1606,ZP2023-0163,2100 MILVIA St,057 202201701,,5+,0,0,no_cpra_presence
1642,ZP2023-0094,924 CARLETON St,054 174702700,,2 to 4,0,0,no_cpra_presence
1643,ZP2024-0120,2435 SAN PABLO Ave,056 192802001,,5+,0,0,no_cpra_presence
1683,ZP2023-0138,2550 Shattuck Ave,055 182100101,,5+,0,0,no_cpra_presence
1684,ZP2023-0079,2274 SHATTUCK Ave,057 202800300,,5+,0,0,no_cpra_presence
1685,ZP2024-0060,"2201 BLAKE St, BERKELEY",055 183001400,,2 to 4,0,0,no_cpra_presence
1687,ZP2022-0136,2942 COLLEGE Ave,052 156800900,,5+,0,0,no_cpra_presence
1720,ZP2024-0169,2372 ELLSWORTH St,055 188700300,,5+,0,0,no_cpra_presence
