JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2025-03505,2951 DERBY St,048H769000300,SFD,0.0,0.0
B2025-01793,3154 COLLEGE Ave,052 141003700,SFD,-4.0,-4.0
B2025-05179,3154 COLLEGE Ave,052 141003800,SFD,0.0,0.0
B2025-01653,1638 SIXTY-SECOND St,052 143500201,SFD,0.0,0.0
B2023-03376,1408 ALCATRAZ Ave,052 143901200,SFD,0.0,0.0
B2024-01236,1250 HASKELL St,052 151504800,SFD,0.0,0.0
B2025-05294,3116 ACTON St,052 151600600,SFD,0.0,0.0
B2025-04007,1320 SIXTY-SEVENTH St,052 151702500,SFD,0.0,0.0
B2025-02659,3252 BAKER St,052 151800100,SFD,0.0,0.0
B2025-05677,1615 ALCATRAZ Ave,052 152101300,SFD,0.0,0.0
B2025-01609,1615 SIXTY-SECOND St,052 152301400,SFD,0.0,0.0
B2025-00333,1823 SIXTY-SECOND St,052 152600600,ADU,0.0,0.0
B2025-02793,1832 SIXTY-THIRD St,052 152602100,SFD,0.0,0.0
B2024-02587,1908 FAIRVIEW St,052 152902400,SFD,0.0,0.0
B2025-04997,3211 ELLIS St,052 153001500,SFD,0.0,0.0
B2025-01814,3222 ADELINE St,052 153002102,SFD,0.0,0.0
B2024-05502,1608 FAIRVIEW St,052 153502100,SFD,0.0,0.0
B2025-04878,3207 SACRAMENTO St,052 153601500,SFD,0.0,0.0
B2025-01122,3219 IDAHO St,052 153801800,SFD,0.0,0.0
B2023-04947,1637 WOOLSEY St,052 154500700,SFD,0.0,0.0
B2025-00504,1601 WOOLSEY St,052 154501900,SFD,0.0,0.0
B2024-00759,1616 PRINCE St,052 154502600,SFD,0.0,0.0
B2024-04226,1707 FAIRVIEW St,052 154700900,SFD,0.0,0.0
B2025-02892,3112 HARPER St,052 154900800,SFD,0.0,0.0
B2025-02293,6621 DOVER St,052 155200900,SFD,0.0,0.0
B2025-02516,3109 WHEELER St,052 155601900,SFD,-1.0,-1.0
B2025-02638,2320 PRINCE St,052 155701500,SFD,0.0,0.0
B2025-04872,3056 HILLEGASS Ave,052 156001900,SFD,0.0,0.0
B2024-04457,3069 BATEMAN St,052 156002600,SFD,0.0,1.0
B2024-00986,3029 HILLEGASS Ave,052 156102600,SFD,0.0,0.0
B2025-05744,3019 BENVENUE Ave,052 156203400,SFD,0.0,0.0
B2025-05550,2742 PRINCE St,052 156304800,SFD,0.0,0.0
B2021-01293,2750 PRINCE St,052 156305000,SFD,0.0,0.0
B2024-05664,3103 COLLEGE Ave,052 156309700,SFD,0.0,0.0
B2025-01132,3306 CLAREMONT Ave,052 156318300,SFD,0.0,0.0
B2025-05511,3121 COLLEGE Ave,052 156319300,SFD,0.0,0.0
B2024-01245,2757 PRINCE St,052 156402000,SFD,0.0,0.0
B2024-00891,2743 PRINCE St,052 156402300,SFD,0.0,0.0
B2025-00125,25 CLAREMONT Cres,052 156506300,SFD,0.0,0.0
B2024-04287,2954 MAGNOLIA St,052 156509300,SFD,0.0,0.0
B2025-04812,2960 MAGNOLIA St,052 156509400,SFD,0.0,0.0
B2024-05935,2970 MAGNOLIA St,052 156509600,SFD,-1.0,0.0
B2023-05021,2953 LINDEN Ave,052 156510300,SFD,0.0,0.0
B2024-03421,2933 LINDEN Ave,052 156510800,SFD,0.0,0.0
B2025-04786,2944 PINE Ave,052 156511600,SFD,0.0,0.0
B2025-04420,2845 WEBSTER St,052 156512100,SFD,0.0,0.0
B2025-03084,2905 PIEDMONT Ave,052 156601700,SFD,0.0,0.0
B2024-02083,2746 RUSSELL St,052 156700100,SFD,0.0,0.0
B2023-01363,2905 REGENT St,052 157002600,SFD,0.0,0.0
B2025-02471,2428 RUSSELL St,052 157100300,SFD,0.0,0.0
B2025-01225,2915 FLORENCE St,052 157102700,SFD,0.0,0.0
B2025-02139,2960 BENVENUE Ave,052 157301900,SFD,0.0,0.0
B2024-05681,2609 WEBSTER St,052 157302100,SFD,0.0,0.0
B2024-05724,3000 DANA St,052 157400200,SFD,0.0,0.0
B2025-02650,2465 PRINCE St,052 157405000,SFD,0.0,0.0
B2025-04456,3020 BATEMAN St,052 157406600,SFD,0.0,0.0
B2025-01412,3017 REGENT St,052 157407800,SFD,0.0,0.0
B2025-03201,2415 PRINCE St,052 157500700,SFD,0.0,0.0
B2022-05917,2326 WEBSTER St,052 157602300,SFD,0.0,0.0
B2025-03040,2327 WEBSTER St,052 157700702,SFD,0.0,0.0
B2023-05935,3001 DEAKIN St,052 157701900,SFD,0.0,0.0
B2025-00511,2296 ASHBY Ave,052 157702600,ADU,0.0,0.0
B2025-01046,2314 RUSSELL St,052 157901800,SFD,0.0,0.0
B2025-02914,2921 DEAKIN St,052 158001900,SFD,-1.0,-1.0
B2025-00169,2915 DEAKIN St,052 158002100,SFD,0.0,0.0
B2025-02482,2214 RUSSELL St,052 158100400,SFD,0.0,0.0
B2025-05867,2920 FULTON St,052 158201000,SFD,0.0,0.0
B2025-05494,3042 FULTON St,052 158401600,SFD,0.0,0.0
B2025-02816,3019 WHEELER St,052 158403300,SFD,0.0,0.0
B2025-00448,2136 ESSEX St,052 158502700,ADU,0.0,0.0
B2024-02603,2133 ESSEX St,053 158600500,SFD,0.0,0.0
B2025-03630,2127 ESSEX St,053 158600700,SFD,0.0,0.0
B2023-02831,3011 SHATTUCK Ave,053 158701700,SFD,0.0,0.0
B2025-02529,2913 LORINA St,053 158801900,SFD,0.0,0.0
B2025-02861,2918 NEWBURY St,053 159100900,SFD,0.0,0.0
B2025-01323,2036 EMERSON St,053 159302000,SFD,0.0,0.0
B2024-00708,2004 ESSEX St,053 159401700,SFD,0.0,0.0
B2023-04985,2028 ESSEX St,053 159402300,SFD,1.0,0.0
B2025-04618,2030 ESSEX St,053 159402400,SFD,0.0,0.0
B2025-02855,2900 OTIS St,053 159900300,SFD,0.0,0.0
B2024-04145,2922 OTIS St,053 159901000,ADU,0.0,0.0
B2025-02429,3008 HARPER St,053 160200402,SFD,0.0,0.0
B2025-05545,3009 ELLIS St,053 160203000,SFD,0.0,0.0
B2025-01687,3084 KING St,053 160600200,SFD,0.0,0.0
B2025-04579,3025 CALIFORNIA St,053 160601800,SFD,0.0,0.0
B2024-05082,1629 JULIA St,053 160901200,SFD,0.0,0.0
B2023-01125,3046 STANTON St,053 161501500,SFD,0.0,0.0
B2025-03906,3048 STANTON St,053 161501600,SFD,0.0,0.0
B2025-00117,3021 ACTON St,053 161603200,SFD,0.0,0.0
B2025-05893,2901 ACTON St,053 161902000,SFD,0.0,0.0
B2025-02799,1316 RUSSELL St,053 162200600,SFD,0.0,0.0
B2025-00192,1321 ASHBY Ave,053 162301601,SFD,0.0,0.0
B2025-00932,1307 CARRISON St,053 162401700,SFD,0.0,0.0
B2024-06064,1307 HASKELL St,053 162503200,SFD,0.0,0.0
B2022-02910,1205 HASKELL St,053 162602201,SFD,0.0,0.0
B2023-06220,1219 CARRISON St,053 162701900,SFD,0.0,0.0
B2025-02342,1224 ASHBY Ave,053 162702500,SFD,0.0,0.0
B2025-00301,1225 ASHBY Ave,053 162801900,SFD,0.0,0.0
B2022-01276,1220 BURNETT St,053 162803200,SFD,1.0,0.0
B2024-03047,1248 BURNETT St,053 162804200,SFD,0.0,0.0
B2025-03381,1235 BURNETT St,053 162901000,SFD,0.0,0.0
B2025-04268,2832 EIGHTH St,053 165801400,SFD,0.0,0.0
B2025-02161,2811 NINTH St,053 166003504,SFD,0.0,1.0
B2025-04874,2822 MATHEWS St,053 166301200,SFD,0.0,0.0
B2025-02403,1211 RUSSELL St,053 166301400,SFD,-1.0,-1.0
B2025-00865,2809 WALLACE St,053 166302400,SFD,0.0,0.0
B2023-06269,1221 RUSSELL St,053 166401600,SFD,0.0,0.0
B2025-01898,2811 ACTON St,053 166801900,SFD,0.0,0.0
B2025-02152,2844 STANTON St,053 166900800,SFD,0.0,0.0
B2024-00096,1505 OREGON St,053 167101800,SFD,0.0,0.0
B2024-04412,1637 OREGON St,053 167400600,SFD,0.0,0.0
B2025-02953,1731 OREGON St,053 167500900,SFD,0.0,0.0
B2025-05358,2830 MILVIA St,053 167900200,SFD,0.0,0.0
B2025-00631,1914 STUART St,053 168002500,SFD,0.0,0.0
B2025-04701,1934 STUART St,053 168003200,SFD,0.0,0.0
B2024-05882,2136 STUART St,053 168503300,SFD,0.0,0.0
B2024-04558,2333 OREGON St,053 168900800,SFD,0.0,0.0
B2025-03495,2416 STUART St,053 169200400,SFD,0.0,0.0
B2024-02780,2440 STUART St,053 169201100,SFD,0.0,0.0
B2025-03766,2837 REGENT St,053 169301700,SFD,0.0,0.0
B2024-05982,2808 HILLEGASS Ave,053 169303600,SFD,0.0,0.0
B2025-04329,2822 BENVENUE Ave,053 169400900,SFD,0.0,0.0
B2025-02533,2717 RUSSELL St,053 169601400,SFD,0.0,0.0
B2025-01498,2720 STUART St,053 169700100,SFD,0.0,0.0
B2025-00658,2804 KELSEY St,053 169800500,SFD,0.0,0.0
B2025-03929,2818 KELSEY St,053 169800900,SFD,0.0,0.0
B2023-05153,2801 RUSSELL St,053 169802600,SFD,0.0,0.0
B2025-02240,2745 STUART St,053 169900600,SFD,0.0,0.0
B2025-00405,2735 STUART St,053 169900800,SFD,0.0,0.0
B2025-04575,2722 GARBER St,053 169902400,SFD,0.0,0.0
B2024-02879,2911 AVALON Ave,053 170102900,SFD,0.0,0.0
B2022-03120,2813 KELSEY St,053 170105403,SFD,0.0,0.0
B2025-05953,2815 STUART St,053 170106200,SFD,0.0,0.0
B2024-04769,2811 STUART St,053 170107100,SFD,0.0,0.0
B2025-00494,2908 DERBY St,054 170201400,SFD,0.0,0.0
B2025-01859,2922 FOREST Ave,054 170203700,SFD,0.0,0.0
B2022-05638,2731 CLAREMONT Blvd,054 170205600,SFD,0.0,0.0
B2023-02198,2943 RUSSELL St,054 170209800,SFD,0.0,0.0
B2025-02984,2841 FOREST Ave,054 170400400,SFD,0.0,0.0
B2023-02282,2834 FOREST Ave,054 170501100,SFD,0.0,0.0
B2024-05363,2642 DERBY St,054 170900300,SFD,0.0,0.0
B2025-05972,2712 BENVENUE Ave,054 171003100,SFD,0.0,-2.0
B2025-05463,2714 BENVENUE Ave,054 171003200,SFD,0.0,0.0
B2025-05137,2716 BENVENUE Ave,054 171003300,SFD,0.0,0.0
B2025-02974,2301 WARD St,054 171501700,SFD,0.0,0.0
B2025-05222,2734 ELLSWORTH St,054 171700200,SFD,0.0,0.0
B2025-02948,2134 WARD St,054 172002500,SFD,0.0,0.0
B2024-05825,2142 WARD St,054 172002800,SFD,0.0,0.0
B2024-05140,1909 STUART St,054 172501500,SFD,0.0,0.0
B2025-04226,1928 WARD St,054 172502800,SFD,0.0,0.0
B2024-05351,1821 STUART St,054 172600900,SFD,0.0,0.0
B2025-04233,2730 GRANT St,054 172900200,SFD,0.0,0.0
B2025-00886,1736 WARD St,054 172903300,SFD,0.0,0.0
B2025-03732,1699 WARD St,054 173100300,SFD,0.0,0.0
B2025-04690,1625 WARD St,054 173101200,SFD,0.0,0.0
B2025-04319,2752 CALIFORNIA St,054 173300800,SFD,0.0,0.0
B2025-05527,1520 WARD St,054 173302700,SFD,0.0,0.0
B2025-05971,1432 WARD St,054 173400300,SFD,0.0,0.0
B2025-04206,2782 SACRAMENTO St,054 173400900,SFD,0.0,0.0
B2025-00245,1416 DERBY St,054 173500100,SFD,0.0,0.0
B2023-04445,2763 DOHR St,054 173701300,SFD,0.0,0.0
B2025-01328,1337 WARD St,054 173900600,SFD,0.0,0.0
B2024-06121,2705 MATHEWS St,054 174002800,SFD,0.0,0.0
B2024-05229,2742 WALLACE St,054 174201900,SFD,0.0,0.0
B2025-00109,2759 WALLACE St,054 174205800,SFD,0.0,0.0
B2025-04318,2747 WALLACE St,054 174206300,SFD,0.0,0.0
B2025-00790,2733 WALLACE St,054 174206800,SFD,0.0,0.0
B2024-04863,2707 WALLACE St,054 174207100,SFD,0.0,0.0
B2025-02398,2752 MABEL St,054 174208300,SFD,0.0,0.0
B2025-00487,2753 MATHEWS St,054 174210000,SFD,0.0,0.0
B2025-01740,2745 MATHEWS St,054 174210300,SFD,0.0,0.0
B2023-05015,1034 DWIGHT Way,054 177900200,SFD,0.0,0.0
B2025-01419,1116 DWIGHT Way,054 178102202,SFD,0.0,0.0
B2025-04625,1218 DWIGHT Way,054 178202400,SFD,0.0,0.0
B2025-04958,2500 ACTON St,054 178300100,SFD,0.0,-1.0
B2025-00706,1327 BLAKE St,054 178300800,SFD,0.0,0.0
B2024-03760,1139 PARKER St,054 178400400,SFD,1.0,0.0
B2025-01253,1117 PARKER St,054 178401100,SFD,0.0,1.0
B2024-03267,1116 BLAKE St,054 178402000,SFD,0.0,0.0
B2024-05199,1129 DERBY St,054 178600400,SFD,0.0,0.0
B2023-02902,1112 CARLETON St,054 178601800,SFD,0.0,0.0
B2025-05929,1231 CARLETON St,054 178800400,SFD,0.0,0.0
