JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
BERKELEY,Alameda,2023,,060 242304000,1381 Ada St,,B2023-03756,ADU,Renter,0,0,0,0,0,1,0,0,0,0,0,2023-12-07,1,0,0,0,0,0,1,0,0,0,0,0,2023-12-07,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.878732,-122.285872,"1381 Ada St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,054 179501800,1404 Blake St,,B2022-03080,ADU,Renter,0,0,0,0,0,1,0,0,0,0,0,2023-03-30,1,0,0,0,0,0,1,0,0,0,0,0,2023-03-30,1,0,0,0,0,0,1,0,0,0,0,0,2023-07-06,1,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.861075,-122.282713,"1404 Blake St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,060 242304900,1449 Ordway St,,B2023-03417,ADU,Renter,0,0,0,0,0,0,0,1,0,0,0,2023-10-13,1,0,0,0,0,0,0,0,1,0,0,0,2023-10-13,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.878394,-122.287267,"1449 Ordway St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,054 180002800,1532 Blake St,,B2023-03115,ADU,Renter,0,0,0,0,0,0,0,1,0,0,0,2023-10-30,1,0,0,0,0,0,0,0,1,0,0,0,2023-10-30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.861529,-122.279230,"1532 Blake St, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,052 152600400,1827 Sixty-Second St,,B2019-00439,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,2023-07-18,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.847184,-122.269560,"1827 62nd St, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,058 215101801,1709 Sacramento St,,B2022-03086,ADU,Renter,0,0,0,0,0,0,0,1,0,0,0,2023-02-09,1,0,0,0,0,0,0,0,1,0,0,0,2023-02-09,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.874512,-122.282290,"1709 Sacramento St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,062 289903000,1884 Thousand Oaks Blvd,,B2019-01573,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,2023-08-02,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.897165,-122.279050,"1884 Thousand Oaks Blvd, Berkeley, California, 94707",100
BERKELEY,Alameda,2023,,052 152802200,1894 Harmon St,,B2021-00336,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,2023-09-01,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.849726,-122.270045,"1894 Harmon St, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,052 158200400,2150 Russell St,,B2022-05356,ADU,Renter,0,0,0,0,0,0,0,1,0,0,0,2023-03-28,1,0,0,0,0,0,0,0,1,0,0,0,2023-03-28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.857019,-122.264227,"2150 Russell St, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,056 198401600,2238 Curtis St,,B2019-05017,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,2023-07-07,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.865316,-122.288780,"2238 Curtis St, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,055 190902600,2331 Jefferson Ave,,B2022-03622,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2023-07-07,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.865076,-122.277998,"2331 Jefferson Ave, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,055 190403300,2303 Grant St,,B2023-01058,ADU,Renter,0,0,0,0,0,0,0,0,0,1,0,2023-10-19,1,0,0,0,0,0,0,0,0,0,1,0,2023-10-19,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.866575,-122.274717,"2303 Grant St, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,053 168900602,2339 Oregon St,,B2020-01498,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,2023-03-10,2,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.858552,-122.259956,"2339 Oregon St, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,056 194202000,2335 Fifth St,,B2023-02152,ADU,Renter,0,0,0,0,0,0,0,0,0,1,0,2023-07-31,1,0,0,0,0,0,0,0,0,0,1,0,2023-07-31,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.862082,-122.296966,"2335 5th St, Berkeley, California, 94710",100
